site_name,Status,City,Neighborhood,estimated_tons,location_description,latitude,longitude,
St. Martin Street,Surveyed,Pittsburgh,Allentown,0.5,,40.42221971,-79.99022525,
Brosville Street,Surveyed,Pittsburgh,Allentown,3,,40.42370101,-79.98657393,
McCain Street,Surveyed,Pittsburgh,Allentown,1,,40.42427063,-79.99022675,
Ceres Way,Surveyed,Pittsburgh,Allentown,0.5,,40.42327242,-79.99248958,
Eureka Street,Completed,Pittsburgh,Allentown,0.1,,40.42372131,-79.99478912,
222 Walter Street,Completed,Pittsburgh,Allentown,5,dump is in deteriorated garage,40.42022451,-79.99477699,
Grimes and Elsinburg,Completed,Pittsburgh,Allentown,0.3,"residential street, across the street from a school",40.41544068,-79.99297857,
Parkwood Road Site 1,Surveyed,Pittsburgh,Arlington,3,,40.41068203,-79.96578013,
Parkwood Road Site 2,Surveyed,Pittsburgh,Arlington,4,,40.41144932,-79.96714085,
Parkwood Road Site 3,Completed,Pittsburgh,Arlington,2.5,,40.41397095,-79.97727203,
Mountain Avenue,Completed,Pittsburgh,Arlington,2,,40.41470159,-79.97789501,
Jonquil Street,Surveyed,Pittsburgh,Arlington,0.5,,40.41609955,-79.9805603,
Bassler Street,Surveyed,Pittsburgh,Arlington,0.5,,40.41400146,-79.96459198,
Azul Street,Surveyed,Pittsburgh,Arlington,1.5,,40.41648095,-79.96574277,
Rothman Street,Surveyed,Pittsburgh,Arlington,2,,40.41384125,-79.97312164,
Parkwood site 4,Partially Cleaned,Pittsburgh,Arlington,1.5,,40.41354178,-79.97608602,
Spruce Run & Frederick,Surveyed,Avalon,Avalon,0.5,"Deep ravine contains large items, a sled, yard toys",40.50406,-80.07102,
Norwood and City View,Surveyed,Avalon,Avalon,0.5,,40.50789,-80.06906,
Medhurst Street,Surveyed,Pittsburgh,Banksville,1,,40.41338781,-80.03676342,
Barking Slopes,Completed,Plum Borough,Barking Slopes,1,Site is located on land owned by Allegheny Land Trust.,40.53390243,-79.79204318,
Barking Slopes 2,Completed,Oakmont,Barking Slopes,2,"Allegheny Land Trust (ALT) owns land east (upstream) of here along the Allegheny. They call it Barking Slopes.  This spot, along Black\\\'s Run near where it flows into the Allegheny, is on Oakmont Country Club land, according to Emilie Cooper at ALT.",40.5355098,-79.81367385,
Barnett Way and Morgan St,Completed,Pittsburgh,Bedford Dwellings,1,,40.45159156,-79.96924466,
Andick Way,Surveyed,Pittsburgh,Beechview,2,,40.4142189,-80.01685333,
Napoleon Avenue,Surveyed,Pittsburgh,Beechview,2,,40.41223465,-80.02932077,
Canton Avenue,Surveyed,Pittsburgh,Beechview,1,,40.41057968,-80.03015137,
Belasco Avenue,Surveyed,Pittsburgh,Beechview,1,,40.41130452,-80.02747225,
Platt Avenue,Surveyed,Pittsburgh,Beechview,1,,40.41186088,-80.01570504,
Dawn Avenue,Surveyed,Pittsburgh,Beechview,1.5,,40.41471298,-80.01466566,
Crane Avenue,Completed,Pittsburgh,Beechview,2,,40.41687915,-80.01816011,
